                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0654,                 3.5859,                 1.5816,                0.42337,                 0.2566,                0.22794,                0.13105,                 0.9201,                 15.346,                 1.5323,             0.00014443,             0.00014443,             0.00014443
                      2,                0.88417,                 2.3946,                  1.478,                0.35113,                0.54327,                0.51516,                0.30444,                 1.2835,                 6.1447,                 1.9427,             0.00029403,             0.00029403,             0.00029403
                      3,                0.91371,                 2.0234,                 1.4682,                0.42551,                0.15865,                0.10181,                0.07359,                 1.5525,                 16.374,                 2.4974,             0.00043747,             0.00043747,             0.00043747
                      4,                 1.0828,                 1.8974,                 1.6081,                0.01707,                0.29808,                0.02533,                0.01009,                 2.5774,                 35.282,                 3.6727,             0.00057475,             0.00057475,             0.00057475
                      5,                 1.0745,                 1.8366,                 1.5716,                0.17674,                0.32212,                0.19657,                0.07314,                 2.0616,                 7.2554,                  3.823,             0.00070588,             0.00070588,             0.00070588
                      6,                 1.2244,                 1.8853,                 1.6925,                0.00015,                  0.125,                0.00011,                  4e-05,                 4.3031,                    inf,                 46.712,             0.00083084,             0.00083084,             0.00083084
                      7,                 1.2022,                 1.7416,                 1.6728,                0.01757,                0.25962,                0.01936,                0.00578,                 2.7966,                 148.39,                 5.2481,             0.00094964,             0.00094964,             0.00094964
                      8,                 1.2382,                 1.9297,                 1.7257,                0.00599,                0.45192,                0.00921,                0.00326,                 3.4422,                 7.3584,                 5.1476,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.1304,                 1.7968,                 1.6376,                0.06163,                0.26442,                0.03462,                0.00782,                 3.3803,                 63.554,                  16.89,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.1519,                 1.6997,                 1.6169,                0.01116,                0.08173,                 0.0085,                0.00374,                 3.1927,                    inf,                 8.5436,             0.00091302,             0.00091302,             0.00091302
                     11,                    1.1,                 1.8015,                 1.6156,                0.43556,                0.46635,                0.18222,                0.12502,                 1.6961,                 3.3531,                  2.399,             0.00089102,             0.00089102,             0.00089102
                     12,                 1.0331,                 1.6756,                 1.5499,                0.08732,                 0.5623,                0.11521,                0.04587,                 2.5451,                 3.7317,                 3.4546,             0.00086902,             0.00086902,             0.00086902
                     13,                 1.1409,                 1.6843,                 1.6348,                0.41166,                0.19712,                0.16199,                0.09862,                 1.4359,                 3.1975,                 2.2338,             0.00084703,             0.00084703,             0.00084703
                     14,                 1.0656,                 1.6204,                 1.5456,                0.73964,                0.15887,                0.17544,                0.11102,                 1.4709,                 3.7321,                 2.1626,             0.00082503,             0.00082503,             0.00082503
                     15,                 1.0586,                 1.5503,                 1.5688,                0.80858,                0.20546,                0.26093,                0.14423,                  1.508,                  2.609,                 2.2572,             0.00080303,             0.00080303,             0.00080303
                     16,                  1.035,                 1.5423,                 1.5514,                0.91899,                0.22664,                0.26738,                0.11408,                 1.4873,                 4.4164,                 2.3931,             0.00078103,             0.00078103,             0.00078103
                     17,                0.98486,                 1.4676,                 1.4888,                0.88633,                0.15865,                0.25579,                0.14723,                 1.6301,                  3.147,                 2.4503,             0.00075904,             0.00075904,             0.00075904
                     18,                 1.0566,                  1.526,                 1.5578,                0.48961,                0.25962,                 0.3029,                0.17773,                 1.3027,                 2.8768,                  1.941,             0.00073704,             0.00073704,             0.00073704
                     19,                 1.0074,                 1.4273,                  1.499,                0.50717,                0.55288,                0.44592,                0.23039,                 1.7101,                 2.3076,                 2.6629,             0.00071504,             0.00071504,             0.00071504
                     20,                0.99475,                 1.4002,                 1.5144,                 0.1882,                0.51576,                0.39441,                 0.2211,                 1.4414,                 2.3133,                 2.0807,             0.00069304,             0.00069304,             0.00069304
                     21,                0.93001,                 1.3462,                 1.4634,                0.29481,                0.58654,                 0.4248,                0.28908,                  1.108,                 2.0463,                 1.7269,             0.00067104,             0.00067104,             0.00067104
                     22,                0.88251,                 1.3233,                 1.4453,                0.59087,                0.59135,                0.53656,                0.41101,                  1.085,                 1.9853,                 1.7891,             0.00064905,             0.00064905,             0.00064905
                     23,                0.91128,                 1.3395,                 1.4452,                0.27743,                0.48318,                0.38318,                0.26485,                 1.2727,                 2.1644,                 1.9045,             0.00062705,             0.00062705,             0.00062705
                     24,                0.90508,                 1.2203,                 1.4379,                0.88591,                0.33654,                0.44227,                0.28648,                 1.2819,                 1.8856,                 1.9467,             0.00060505,             0.00060505,             0.00060505
                     25,                0.86987,                 1.1471,                 1.3927,                0.63587,                0.33654,                0.43976,                0.29499,                 1.3068,                 1.8665,                 1.9583,             0.00058305,             0.00058305,             0.00058305
                     26,                0.80967,                 1.1488,                 1.3557,                0.65319,                0.59161,                0.63514,                0.38081,                 1.2658,                 1.9772,                  1.887,             0.00056105,             0.00056105,             0.00056105
